DATE,LFPR
8/1/1989,76.5
9/1/1989,76.1
10/1/1989,76.5
11/1/1989,76.4
12/1/1989,76.4
1/1/1990,76.7
2/1/1990,76.6
3/1/1990,76.6
4/1/1990,76.4
5/1/1990,76.4
6/1/1990,76.3
7/1/1990,76.3
8/1/1990,76.3
9/1/1990,76.1
10/1/1990,76.2
11/1/1990,76.3
12/1/1990,76.3
1/1/1991,76
2/1/1991,75.9
3/1/1991,76.1
4/1/1991,76
5/1/1991,75.8
6/1/1991,75.8
7/1/1991,75.8
8/1/1991,75.6
9/1/1991,75.8
10/1/1991,75.6
11/1/1991,75.5
12/1/1991,75.4
1/1/1992,75.7
2/1/1992,75.6
3/1/1992,75.8
4/1/1992,75.8
5/1/1992,76.1
6/1/1992,76.2
7/1/1992,76
8/1/1992,76
9/1/1992,75.9
10/1/1992,75.6
11/1/1992,75.6
12/1/1992,75.5
1/1/1993,75.4
2/1/1993,75.4
3/1/1993,75.6
4/1/1993,75.4
5/1/1993,75.6
6/1/1993,75.7
7/1/1993,75.7
8/1/1993,75.7
9/1/1993,75.2
10/1/1993,75.3
11/1/1993,75.1
12/1/1993,75
1/1/1994,75.3
2/1/1994,75.1
3/1/1994,74.9
4/1/1994,74.9
5/1/1994,74.8
6/1/1994,74.7
7/1/1994,74.8
8/1/1994,75
9/1/1994,75
10/1/1994,75.2
11/1/1994,75.2
12/1/1994,75.4
1/1/1995,75.4
2/1/1995,75.4
3/1/1995,75.3
4/1/1995,75.3
5/1/1995,74.9
6/1/1995,75
7/1/1995,74.9
8/1/1995,74.8
9/1/1995,75
10/1/1995,74.7
11/1/1995,74.6
12/1/1995,74.6
1/1/1996,74.6
2/1/1996,74.9
3/1/1996,74.9
4/1/1996,74.9
5/1/1996,75
6/1/1996,75
7/1/1996,75.2
8/1/1996,74.8
9/1/1996,75
10/1/1996,75.1
11/1/1996,74.9
12/1/1996,74.8
1/1/1997,74.9
2/1/1997,74.9
3/1/1997,75
4/1/1997,75.1
5/1/1997,75
6/1/1997,75
7/1/1997,75
8/1/1997,75
9/1/1997,74.9
10/1/1997,74.9
11/1/1997,75.1
12/1/1997,74.9
1/1/1998,74.9
