DATE,LFPR
8/1/1989,57.5
9/1/1989,57.5
10/1/1989,57.4
11/1/1989,57.8
12/1/1989,57.5
1/1/1990,57.7
2/1/1990,57.6
3/1/1990,57.6
4/1/1990,57.5
5/1/1990,57.7
6/1/1990,57.4
7/1/1990,57.5
8/1/1990,57.6
9/1/1990,57.6
10/1/1990,57.4
11/1/1990,57.4
12/1/1990,57.3
1/1/1991,57.3
2/1/1991,57.4
3/1/1991,57.3
4/1/1991,57.6
5/1/1991,57.4
6/1/1991,57.4
7/1/1991,57.2
8/1/1991,57.2
9/1/1991,57.4
10/1/1991,57.5
11/1/1991,57.5
12/1/1991,57.5
1/1/1992,57.7
2/1/1992,57.7
3/1/1992,57.8
4/1/1992,57.9
5/1/1992,57.8
6/1/1992,57.9
7/1/1992,58.1
8/1/1992,58
9/1/1992,57.8
10/1/1992,57.6
11/1/1992,57.8
12/1/1992,57.9
1/1/1993,57.7
2/1/1993,57.7
3/1/1993,57.6
4/1/1993,57.7
5/1/1993,58
6/1/1993,58
7/1/1993,57.9
8/1/1993,58
9/1/1993,57.9
10/1/1993,58.1
11/1/1993,58.2
12/1/1993,58.4
1/1/1994,58.7
2/1/1994,58.8
3/1/1994,58.7
4/1/1994,58.8
5/1/1994,58.9
6/1/1994,58.7
7/1/1994,58.6
8/1/1994,58.9
9/1/1994,58.9
10/1/1994,58.9
11/1/1994,58.9
12/1/1994,58.7
1/1/1995,58.8
2/1/1995,58.8
3/1/1995,58.8
4/1/1995,59.2
5/1/1995,58.8
6/1/1995,58.7
7/1/1995,59.1
8/1/1995,59
9/1/1995,59
10/1/1995,59.2
11/1/1995,59.1
12/1/1995,58.9
1/1/1996,58.9
2/1/1996,58.9
3/1/1996,59
4/1/1996,59.1
5/1/1996,59.1
6/1/1996,59
7/1/1996,59.3
8/1/1996,59.3
9/1/1996,59.5
10/1/1996,59.6
11/1/1996,59.8
12/1/1996,59.8
1/1/1997,59.6
2/1/1997,59.5
3/1/1997,59.8
4/1/1997,59.7
5/1/1997,59.8
6/1/1997,59.7
7/1/1997,60
8/1/1997,59.9
9/1/1997,60
10/1/1997,59.8
11/1/1997,59.8
12/1/1997,60.1
1/1/1998,59.9
2/1/1998,59.9
3/1/1998,59.9
4/1/1998,59.7
5/1/1998,59.7
6/1/1998,59.7
7/1/1998,59.7
8/1/1998,59.8
9/1/1998,60
10/1/1998,60
11/1/1998,59.9
12/1/1998,60
1/1/1999,60.1
2/1/1999,60
3/1/1999,59.9
4/1/1999,60.1
5/1/1999,59.9
6/1/1999,60.1
7/1/1999,60
8/1/1999,60
9/1/1999,60
10/1/1999,60.1
11/1/1999,60.2
12/1/1999,60.1
1/1/2000,60.1
2/1/2000,60
3/1/2000,60.1
4/1/2000,60.3
5/1/2000,60
6/1/2000,60
7/1/2000,59.9
8/1/2000,59.6
9/1/2000,59.8
10/1/2000,59.7
11/1/2000,59.9
12/1/2000,59.9
1/1/2001,60.1
2/1/2001,60
3/1/2001,60.2
4/1/2001,59.8
5/1/2001,59.7
6/1/2001,59.7
7/1/2001,59.7
8/1/2001,59.5
9/1/2001,59.6
10/1/2001,59.7
11/1/2001,59.8
12/1/2001,59.7
1/1/2002,59.5
2/1/2002,59.9
3/1/2002,59.7
4/1/2002,59.7
5/1/2002,59.6
6/1/2002,59.6
7/1/2002,59.5
8/1/2002,59.6
9/1/2002,59.7
10/1/2002,59.6
11/1/2002,59.5
12/1/2002,59.5
1/1/2003,59.7
2/1/2003,59.6
3/1/2003,59.7
4/1/2003,59.7
5/1/2003,59.7
6/1/2003,59.9
7/1/2003,59.5
8/1/2003,59.5
9/1/2003,59.1
10/1/2003,59.3
11/1/2003,59.2
12/1/2003,59
1/1/2004,59.1
2/1/2004,59.2
3/1/2004,59.3
4/1/2004,59.2
5/1/2004,59.3
6/1/2004,59.3
7/1/2004,59.3
8/1/2004,59
9/1/2004,59
10/1/2004,59
11/1/2004,59
12/1/2004,59.1
1/1/2005,59.1
2/1/2005,59.1
3/1/2005,59
4/1/2005,59.2
5/1/2005,59.3
6/1/2005,59.2
7/1/2005,59.2
8/1/2005,59.3
9/1/2005,59.4
10/1/2005,59.5
11/1/2005,59.3
12/1/2005,59.2
1/1/2006,59.1
2/1/2006,59.3
3/1/2006,59.2
4/1/2006,59.2
5/1/2006,59.2
6/1/2006,59.5
7/1/2006,59.6
8/1/2006,59.5
9/1/2006,59.3
10/1/2006,59.4
11/1/2006,59.5
12/1/2006,59.5
1/1/2007,59.5
2/1/2007,59.4
3/1/2007,59.4
4/1/2007,58.9
5/1/2007,59.1
6/1/2007,59.3
7/1/2007,59.3
8/1/2007,59.2
9/1/2007,59.5
10/1/2007,59.2
11/1/2007,59.4
12/1/2007,59.4
1/1/2008,59.5
2/1/2008,59.3
3/1/2008,59.5
4/1/2008,59.4
5/1/2008,59.6
6/1/2008,59.5
7/1/2008,59.4
8/1/2008,59.6
9/1/2008,59.4
10/1/2008,59.6
11/1/2008,59.5
12/1/2008,59.5
1/1/2009,59.4
2/1/2009,59.5
3/1/2009,59.5
4/1/2009,59.4
5/1/2009,59.4
6/1/2009,59.5
7/1/2009,59.4
8/1/2009,59.2
9/1/2009,58.9
10/1/2009,58.8
11/1/2009,58.9
12/1/2009,58.6
1/1/2010,58.8
2/1/2010,58.9
3/1/2010,58.8
4/1/2010,58.9
5/1/2010,58.8
6/1/2010,58.5
7/1/2010,58.4
8/1/2010,58.6
9/1/2010,58.5
10/1/2010,58.4
11/1/2010,58.6
12/1/2010,58.3
1/1/2011,58.3
2/1/2011,58.1
3/1/2011,58.3
4/1/2011,58.3
5/1/2011,58.1
6/1/2011,58
7/1/2011,58
8/1/2011,58.1
9/1/2011,58.3
10/1/2011,58.1
11/1/2011,58
12/1/2011,57.8
1/1/2012,57.7
2/1/2012,57.8
3/1/2012,57.8
4/1/2012,57.6
5/1/2012,57.7
6/1/2012,57.7
7/1/2012,57.6
8/1/2012,57.6
9/1/2012,57.6
10/1/2012,57.7
11/1/2012,57.6
12/1/2012,57.7
1/1/2013,57.5
2/1/2013,57.3
3/1/2013,57.2
4/1/2013,57.3
5/1/2013,57.3
6/1/2013,57.4
7/1/2013,57.3
8/1/2013,57.3
9/1/2013,57.1
10/1/2013,56.8
11/1/2013,56.9
12/1/2013,57
1/1/2014,57
2/1/2014,57.2
3/1/2014,57.2
4/1/2014,57
5/1/2014,57.1
6/1/2014,56.9
7/1/2014,56.9
8/1/2014,56.9
9/1/2014,56.8
10/1/2014,57.1
11/1/2014,57
12/1/2014,56.7
1/1/2015,56.9
2/1/2015,56.6
3/1/2015,56.6
4/1/2015,56.7
5/1/2015,56.9
6/1/2015,56.8
7/1/2015,56.6
8/1/2015,56.7
9/1/2015,56.4
10/1/2015,56.6
11/1/2015,56.8
12/1/2015,56.8
1/1/2016,56.9
2/1/2016,56.8
3/1/2016,57
4/1/2016,56.9
5/1/2016,56.8
6/1/2016,56.6
7/1/2016,56.7
8/1/2016,56.8
9/1/2016,56.9
10/1/2016,56.8
11/1/2016,56.7
12/1/2016,56.7
1/1/2017,56.9
2/1/2017,57
3/1/2017,57.2
4/1/2017,57.2
5/1/2017,57.1
6/1/2017,57.1
7/1/2017,57.2
8/1/2017,57.1
9/1/2017,57.2
10/1/2017,56.8
11/1/2017,56.9
12/1/2017,56.8
1/1/2018,56.7
2/1/2018,57
3/1/2018,56.9
4/1/2018,56.9
5/1/2018,56.9
6/1/2018,57.2
7/1/2018,57.3
8/1/2018,57
9/1/2018,57.1
10/1/2018,57.3
11/1/2018,57.2
12/1/2018,57.4
1/1/2019,57.4
2/1/2019,57.4
3/1/2019,57.3
4/1/2019,57.1
5/1/2019,57.1
6/1/2019,57.3
7/1/2019,57.2
8/1/2019,57.5
9/1/2019,57.6
10/1/2019,57.8
11/1/2019,57.5
12/1/2019,57.7
1/1/2020,57.9
